意见反馈留言板	意見反饋留言【板】
但由于种种原因	但由於【種】【種】原因
作出了巨大贡献	作【出】【了】巨大貢獻
长大了是第一次	長大【了】是第一次
马克思主义政治	馬【克】思主義政治
的一种生活方式	的一【種】生活方式
小商品批发市场	小商品批【發】市場
冲冠一怒为红颜	【衝】冠一怒爲紅顏
发行短期融资券	【發】行短期融資券
只是不知道怎么	【只】是不知道怎麼
引起了社会各界	引起【了】社會各界
同年同月同日死	【同】年【同】月【同】日死
国家统计局发布	國家統計局【發】【佈】
社会的和谐发展	社會的和諧【發】展
伊拉克战争爆发	伊拉【克】戰爭爆【發】
和你有什么关系	和你有什麼關【係】
宝剑锋从磨砺出	寶劍鋒從磨礪【出】
投资者关系管理	投資者關【係】管理
当我想你的时候	【當】我想你的時候
做好充分的准备	做好充分的【準】備
那里是做什么的	那【里】是做什麼的
我该怎么办才好	我該怎麼辦【才】好
提供了有利条件	提供【了】有利條件
到现在我才明白	到現在我【才】明白
只有在这个时候	【只】有在這個時候
怎么不认识我了	怎麼不認識我【了】
梦里不知身是客	夢【里】不知身是客
银行股份制改革	銀行股份【制】改革
认识了一个朋友	認識【了】一個朋友
一系列宏观调控	一【係】列宏觀調控
市场占有率达到	市場【佔】有率達到
征收土地增值税	【徵】收土地增值稅
却不知道当时的	卻不知道【當】時的
进出口贸易总额	進【出】口貿易總額
产品质量进行了	產品質量進行【了】
经历了那么多的	經【歷】【了】那麼多的
麦田里的守望者	麥田【里】的守望者
你有男朋友了吗	你有男朋友【了】嗎
发生什么事情了	【發】生什麼事情【了】
天生我才必有用	天生我【才】必有用
静静的坐在那里	靜靜的坐在那【里】
相当长一段时间	相【當】長一段時間
江苏省人民医院	江【蘇】省人民醫院
和谐的人际关系	和諧的人際關【係】
比利时布鲁塞尔	比利時【佈】魯塞爾
在这样的世界里	在這樣的世界【里】
我一定会回来的	我一定會【回】來的
发现自己真的是	【發】現自己真的是
巴西里约热内卢	巴西【里】約熱內盧
感觉到了自己的	感覺到【了】自己的
人面桃花相映红	人【面】桃花相映紅
充分的心理准备	充分的心理【準】備
留下了不可磨灭	留下【了】不可磨滅
只留下我一个人	【只】留下我一個人
香港贸易发展局	香港貿易【發】展局
经历了这么多的	經【歷】【了】這麼多的
根据信息产业部	根【據】信息產業部
中国证监会批准	中國證監會批【準】
例行新闻发布会	例行新聞【發】【佈】會
身无彩凤双飞翼	身無【彩】鳳雙飛翼
相见时难别亦难	相見時難【別】亦難
越来越多的证据	越來越多的證【據】
进行了大规模的	進行【了】大規模的
的最新数据显示	的最新數【據】顯示
二万五千里长征	二【萬】五【千】【里】長【徵】
未来的发展方向	未來的【發】展方【向】
文化产业发展的	文化產業【發】展的
解放军艺术学院	解放軍藝【術】學院
小灵通用户发送	小靈通用戶【發】送
变成了另外一个	變成【了】另外一個
社会主义公有制	社會主義公有【制】
很大的发展空间	很大的【發】展空間
发展可再生能源	【發】展可再生能源
工业自动化仪表	工業自動化儀【表】
经历了很多事情	經【歷】【了】很多事情
真的是最后一次	真的是最【後】一次
中央电视台报道	中央電視【臺】報道
学会了很多东西	學會【了】很多東西
但值得注意的是	但值得【注】意的是
进一步采取措施	進一步【採】取措施
为了自己的事业	爲【了】自己的事業
月最低工资标准	月最低工資標【準】
全额征收营业税	全額【徵】收營業稅
贫困家庭学生的	貧【困】家庭學生的
在你面前的时候	在你【面】前的時候
发展到一定程度	【發】展到一定程度
国家发改委宏观	國家【發】改委宏觀
强制性国家标准	強【制】性國家標【準】
改变了我的世界	改變【了】我的世界
静静地坐在那里	靜靜地坐在那【里】
中国体育代表团	中國體育代【表】【團】
在游戏的过程中	在【遊】戲的過程中
我实在受不了了	我實在受不【了】【了】
爱上你我不后悔	愛上你我不【後】悔
老夫聊发少年狂	老夫聊【發】少年狂
只是为了让自己	【只】是爲【了】讓自己
自然历史博物馆	自然【歷】史博物館
国家的经济发展	國家的經濟【發】展
不知道怎么表达	不知道怎麼【表】達
发展要有新思路	【發】展要有新思路
我的眼里只有你	我的眼【里】【只】有你
本报记者采访了	本報記者【採】訪【了】
长江后浪推前浪	長江【後】浪推前浪
去年同期增加了	去年【同】期增加【了】
足够的心理准备	足夠的心理【準】備
好久没看到你了	好久沒看到你【了】
我看到了自己的	我看到【了】自己的
我的眼睛湿润了	我的眼睛濕潤【了】
亚洲冬季运动会	亞洲【冬】季運動會
后天下之乐而乐	【後】天下之樂而樂
高校毕业生面向	高校畢業生【面】【向】
当前房地产市场	【當】前房地產市場
他们的联系电话	他們的聯【係】電話
可再生能源发展	可再生能源【發】展
奥林匹克体育场	奧林匹【克】體育場
国家发改委主任	國家【發】改委主任
其他发展中国家	其他【發】展中國家
中国人民志愿军	中國人民【志】願軍
党政机关办公楼	【黨】政機關辦公樓
回来给我打电话	【回】來給我打電話
进行了长时间的	進行【了】長時間的
全日制普通高校	全日【制】普通高校
改变了我的一生	改變【了】我的一生
遇到挫折的时候	遇到挫【折】的時候
造血干细胞移植	造血【幹】細胞移植
带来了前所未有	帶來【了】前所未有
复旦大学医学院	【復】旦大學醫學院
竞争中脱颖而出	競爭中脫穎而【出】
一个人走在回家	一個人走在【回】家
很多事情的发展	很多事情的【發】展
他们是为了避免	他們是爲【了】避免
国家计划委员会	國家計【劃】委員會
经济的飞速发展	經濟的飛速【發】展
一直都在我心里	一直都在我心【里】
汤加丽人体艺术	湯加麗人體藝【術】
就已经很不错了	就已經很不錯【了】
羊毛出在羊身上	羊毛【出】在羊身上
勿以恶小而为之	勿以【惡】小而爲之
怎么也睡不着了	怎麼也睡不著【了】
西方马克思主义	西方馬【克】思主義
有一天你会发现	有一天你會【發】現
回首向来萧瑟处	【回】首【向】來蕭瑟處
映日荷花别样红	映日荷花【別】樣紅
大风起兮云飞扬	大風起兮【雲】飛揚
有了长足的进步	有【了】長足的進步
开弓没有回头箭	開弓沒有【回】頭箭
生命的最后一天	生命的最【後】一天
未来的发展趋势	未來的【發】展趨勢
也不知道干什么	也不知道【幹】什麼
究竟发生了什么	究竟【發】生【了】什麼
长江中下游地区	長江中下【遊】地區
望帝春心托杜鹃	望帝春心【托】杜鵑
国家发改委经济	國家【發】改委經濟
工业控制计算机	工業控【制】計算機
燕雀安知鸿鹄志	燕雀安知鴻鵠【志】
春花秋月何时了	春花【秋】月何時【了】
不只是我一个人	不【只】是我一個人
政府新闻发言人	政府新聞【發】言人
立下了汗马功劳	立下【了】汗馬功勞
主要有三个方面	主要有三個方【面】
那我就没办法了	那我就沒辦法【了】
吸引了越来越多	吸引【了】越來越多
追求幸福的权利	追求【幸】福的權利
采蘑菇的小姑娘	【採】蘑菇的小姑【娘】
科学技术研究院	科學技【術】研究院
伊布拉希莫维奇	伊【佈】拉希莫維奇
签订了合作协议	【籖】訂【了】合作協議
世界和平与发展	世界和平與【發】展
下一张精彩图片	下一張精【彩】圖片
以后会发生什么	以【後】會【發】生什麼
再也不会回来了	再也不會【回】來【了】
集团新闻发言人	集【團】新聞【發】言人
山东人民出版社	山東人民【出】版社
带来了实实在在	帶來【了】實實在在
知道发生了什么	知道【發】生【了】什麼
任期目标责任制	任期目標責任【制】
一失足成千古恨	一失足成【千】古恨
故障恢复控制台	故障恢【復】控【制】【臺】
与以往不同的是	與以往不【同】的是
历年录取分数线	【歷】年錄取分數線
云想衣裳花想容	【雲】想衣裳花想容
梦游天姥吟留别	夢【遊】天姥吟留【別】
认识了很多朋友	認識【了】很多朋友
台湾同胞联谊会	【臺】灣【同】胞聯誼會
外交部发言人刘	外交部【發】言人劉
国家发改委公布	國家【發】改委公【佈】
安徽教育出版社	安徽教育【出】版社
新闻发言人制度	新聞【發】言人【制】度
上的利害关系人	上的利害關【係】人
你是我的幸福吗	你是我的【幸】福嗎
参拜靖国神社的	【參】拜靖國神社的
占国民生产总值	【佔】國民生產總值
后来的事实证明	【後】來的事實證明
出现在我的视野	【出】現在我的視野
岫岩满族自治县	岫【巖】滿族自治縣
千丝万缕的关系	【千】絲【萬】縷的關【係】
你的心里有我吗	你的心【里】有我嗎
我什么时候才能	我什麼時候【才】能
再见了最爱的人	再見【了】最愛的人
出现了一些问题	【出】現【了】一些問題
忍不住泪流满面	忍不住淚流滿【面】
让我们荡起双浆	讓我們【蕩】起雙漿
相关部门了解到	相關部門【了】解到
向天再借五百年	【向】天再【借】五百年
我终于失去了你	我終於失去【了】你
美国佛罗里达州	美國佛羅【里】達州
你什么时候回来	你什麼時候【回】來
又是一年过去了	又是一年過去【了】
联想集团副总裁	聯想集【團】副總裁
建设性合作关系	建設性合作關【係】
考试终于结束了	考試終於結束【了】
经历了一些事情	經【歷】【了】一些事情
眉毛胡子一把抓	眉毛【胡】子一把抓
工作会议上表示	工作會議上【表】示
承包经营责任制	承包經營責任【制】
都这么长时间了	都這麼長時間【了】
可再生能源发电	可再生能源【發】電
迷你小游戏下载	迷你小【遊】戲下載
香港旅游发展局	香港旅【遊】【發】展局
这并不是我想要	這【並】不是我想要
食品药品管理局	食品【藥】品管理局
越来越发现自己	越來越【發】現自己
中国农工民主党	中國農工民主【黨】
在主席台就座的	在主席【臺】就座的
子欲养而亲不在	子【欲】養而親不在
充分的思想准备	充分的思想【準】備
已经有了女朋友	已經有【了】女朋友
的情况时有发生	的情況時有【發】生
完成房地产开发	完成房地產開【發】
这是怎么一回事	這是怎麼一【回】事
布伦特原油期货	【佈】倫特原油期貨
多媒体信息系统	多媒體信息【係】統
帮助发展中国家	幫助【發】展中國家
这样才能让自己	這樣【才】能讓自己
爱一个人要了解	愛一個人要【了】解
土地出让净收益	土地【出】讓凈收益
直到现在才发现	直到現在【才】【發】現
外国投资者并购	外國投資者【並】購
千树万树梨花开	【千】樹【萬】樹梨花開
起到了关键作用	起到【了】關鍵作用
双方的共同努力	雙方的共【同】努力
在我心里的位置	在我心【里】的位置
冤冤相报何时了	冤冤相報何時【了】
我们这里还有鱼	我們這【里】還有魚
计算机监控系统	計算機監控【係】統
密不可分的关系	密不可分的關【係】
越来越喜欢你了	越來越喜歡你【了】
外交部发言人秦	外交部【發】言人秦
中国国家旅游局	中國國家旅【遊】局
如果再回到从前	如果再【回】到從前
上演了帽子戏法	上演【了】帽子戲法
银行体系流动性	銀行體【係】流動性
台北市长马英九	【臺】北市長馬英九
法院审理后认为	法院審理【後】認爲
力所能及的范围	力所能及的【範】圍
起到了至关重要	起到【了】至關重要
我还以为你走了	我還以爲你走【了】
党的先进性教育	【黨】的先進性教育
一名出租车司机	一名【出】租車司機
我到了这个时候	我到【了】這個時候
人类基因组计划	人類基因組計【劃】
丰宁满族自治县	【豐】寧滿族自治縣
多用户操作系统	多用戶操作【係】統
在西方发达国家	在西方【發】達國家
直挂云帆济沧海	直掛【雲】帆濟滄海
那我就不清楚了	那我就不清楚【了】
与尔同销万古愁	與爾【同】銷【萬】古愁
风云榜颁奖盛典	風【雲】榜頒獎盛典
幸福其实很简单	【幸】福其實很簡單
新的一年开始了	新的一年開始【了】
出现了前所未有	【出】現【了】前所未有
汽车工业的发展	汽車工業的【發】展
中国青年志愿者	中國青年【志】願者
资本市场发展的	資本市場【發】展的
除却巫山不是云	除卻巫山不是【雲】
只要为你活一天	【只】要爲你活一天
采取不正当手段	【採】取不正【當】手段
命里无时莫强求	命【里】無時莫強求
主要有两个方面	主要有兩個方【面】
生活水平提高了	生活水平提高【了】
慢慢的喜欢上了	慢慢的喜歡上【了】
世界粮食计划署	世界糧食計【劃】署
进行了问卷调查	進行【了】問【捲】調查
建筑材料工业局	建【築】材料工業局
亲爱的你在哪里	親愛的你在哪【里】
一将功成万骨枯	一將功成【萬】骨枯
与往年不同的是	與往年不【同】的是
树欲静而风不止	樹【欲】靜而風不止
一定要比我幸福	一定要比我【幸】福
刺痛了我的眼睛	刺痛【了】我的眼睛
是一个人的精彩	是一個人的精【彩】
但愿人长久千里	但願人長久【千】【里】
世界上只有一个	世界上【只】有一個
乱花渐欲迷人眼	亂花漸【欲】迷人眼
儿行千里母担忧	兒行【千】【里】母擔憂
你什么时候回家	你什麼時候【回】家
工程开发总公司	工程開【發】總公司
蜡炬成灰泪始干	【蠟】炬成灰淚始【幹】
你是干什么的呀	你是【幹】什麼的呀
人生得意须尽欢	人生得意【須】【盡】歡
计划经济时代的	計【劃】經濟時代的
广泛的共同利益	廣泛的共【同】利益
媒体关注的焦点	媒體關【注】的焦點
电热鼓风干燥箱	電熱鼓風【幹】燥箱
姑苏城外寒山寺	姑【蘇】城外寒山寺
出席新闻发布会	【出】席新聞【發】【佈】會
经济适用房制度	經濟適用房【制】度
夏商周断代工程	夏商【周】斷代工程
解铃还需系铃人	解鈴還需【係】鈴人
这也是一种幸福	這也是一【種】【幸】福
这是怎么回事啊	這是怎麼【回】事啊
引起了广泛关注	引起【了】廣泛關【注】
已经有了男朋友	已經有【了】男朋友
不说了还不行吗	不說【了】還不行嗎
从实际情况出发	從實際情況【出】【發】
部分地区出现了	部分地區【出】現【了】
小荷才露尖尖角	小荷【才】露尖尖角
怎么不说话了呀	怎麼不說話【了】呀
期待的网络游戏	期待的網絡【遊】戲
轻舟已过万重山	輕舟已過【萬】重山
根据中国证监会	根【據】中國證監會
外交部发言人姜	外交部【發】言人【薑】
一位出租车司机	一位【出】租車司機
乌兹别克斯坦队	烏茲【別】【克】斯坦隊
放之四海而皆准	放之四海而皆【準】
不正当交易行为	不正【當】交易行爲
据国家税务总局	【據】國家稅務總局
赔了夫人又折兵	賠【了】夫人又【折】兵
什么时候回来的	什麼時候【回】來的
台湾同胞在内的	【臺】灣【同】胞在內的
向大家介绍一下	【向】大家介紹一下
为了让更多的人	爲【了】讓更多的人
春蚕到死丝方尽	春蠶到死絲方【盡】
只有在夜深人静	【只】有在夜深人靜
出版工作者协会	【出】版工作者協會
今年春节黄金周	今年春節黃金【周】
创历史最高纪录	創【歷】史最高紀錄
中央党史研究室	中央【黨】史研究室
国家发改委价格	國家【發】改委價格
俄罗斯经济发展	俄羅斯經濟【發】展
只想一生跟你走	【只】想一生跟你走
达摩克利斯之剑	達摩【克】利斯之劍
恐龙特急克塞号	恐龍特急【克】塞號
太阳升起的地方	太陽【升】起的地方
一天一天过去了	一天一天過去【了】
此曲只应天上有	此【曲】【只】應天上有
家庭版操作系统	家庭版操作【係】統
面朝黄土背朝天	【面】朝黃土背朝天
我什么都给你了	我什麼都給你【了】
多情自古伤离别	多情自古傷離【別】
生物制品研究所	生物【制】品研究所
的时候千万不要	的時候【千】【萬】不要
奥林匹克委员会	奧林匹【克】委員會
众里寻他千百度	眾【里】尋他【千】百度
只想和你在一起	【只】想和你在一起
另一方面也说明	另一方【面】也說明
联通用户发送到	聯通用戶【發】送到
离开你我才发现	離開你我【才】【發】現
我是真的爱上了	我是真的愛上【了】
国家医药管理局	國家醫【藥】管理局
新的一年又到了	新的一年又到【了】
牵引力控制系统	牽引力控【制】【係】統
激励与约束机制	激勵與約束機【制】
置之死地而后生	置之死地而【後】生
进出口食品安全	進【出】口食品安全
直到现在才明白	直到現在【才】明白
千载难逢的机会	【千】載難逢的機會
几家欢乐几家愁	【幾】家歡樂【幾】家愁
什么时候才能不	什麼時候【才】能不
意大利文艺复兴	意大利文藝【復】興
天光云影共徘徊	天光【雲】影共徘徊
日出江花红胜火	日【出】江花紅勝火
我才发现原来我	我【才】【發】現原來我
机关算尽太聪明	機關算【盡】太聰明
北京市人大代表	北京市人大代【表】
取得了巨大成功	取得【了】巨大成功
富士康科技集团	富士康科技集【團】
参加中央电视台	【參】加中央電視【臺】
参加新闻发布会	【參】加新聞【發】【佈】會
回眸一笑百媚生	【回】眸一笑百媚生
在计划经济时代	在計【劃】經濟時代
红藕香残玉簟秋	紅藕香殘玉簟【秋】
掀起了轩然大波	掀起【了】軒然大波
记得当时年纪小	記得【當】時年紀小
万绿丛中一点红	【萬】綠叢中一點紅
的目的只有一个	的目的【只】有一個
你叫什么名字了	你叫什麼名字【了】
中国戏剧出版社	中國戲劇【出】版社
提出了殷切希望	提【出】【了】殷切希望
不过话又说回来	不過話又說【回】來
面向二十一世纪	【面】【向】二十一世紀
聚合酶链式反应	聚合酶【鏈】式反應
工作人员向记者	工作人員【向】記者
公布的报告显示	公【佈】的報告顯示
好男儿志在四方	好男兒【志】在四方
国家发改委能源	國家【發】改委能源
赋得古原草送别	賦得古原草送【別】
海淀区人民法院	海【澱】區人民法院
的事件时有发生	的事件時有【發】生
许多发展中国家	許多【發】展中國家
更值得注意的是	更值得【注】意的是
众所周知的原因	眾所【周】知的原因
山重水复疑无路	山重水【復】疑無路
在社会上造成了	在社會上造成【了】
投资者注意风险	投資者【注】意風險
不带走一片云彩	不帶走一片【雲】【彩】
涡轮增压发动机	渦輪增壓【發】動機
大学中文系教授	大學中文【係】教授
他们之间的关系	他們之間的關【係】
得到了前所未有	得到【了】前所未有
这段感情失败后	這段感情失敗【後】
很大的负面影响	很大的負【面】影響
口腔颌面外科学	口腔頜【面】外科學
去年同期上升了	去年【同】期上【升】【了】
台湾地区领导人	【臺】灣地區領導人
西班牙当地时间	西班牙【當】地時間
军工企业股份制	軍工企業股份【制】
基础性制度建设	基礎性【制】度建設
已经一去不复返	已經一去不【復】返
弹出菜单中选择	彈【出】菜單中選擇
沉舟侧畔千帆过	沉舟側畔【千】帆過
已经有了一定的	已經有【了】一定的
古来征战几人回	古來【徵】戰【幾】人【回】
只是当时已惘然	【只】是【當】時已惘然
的同时在线人数	的【同】時在線人數
操作系统处理器	操作【係】統處理器
中央气象台今天	中央氣象【臺】今天
不尽长江滚滚来	不【盡】長江滾滾來
红星照我去战斗	紅星照我去戰【鬭】
最后一场小组赛	最【後】一場小組賽
发布会上了解到	【發】【佈】會上【了】解到
恶劣的社会影响	【惡】劣的社會影響
好久没看见你了	好久沒看見你【了】
这段时间发生了	這段時間【發】生【了】
宰相肚里能撑船	宰相肚【里】能撐船
奥林匹克文化节	奧林匹【克】文化節
我只能告诉自己	我【只】能告訴自己
你现在才知道啊	你現在【才】知道啊
福布斯中国富豪	福【佈】斯中國富豪
约翰克利斯朵夫	約翰【克】利斯朵夫
别时容易见时难	【別】時容易見時難
表现的淋漓尽致	【表】現的淋【漓】【盡】【致】
万紫千红总是春	【萬】紫【千】紅總是春
苏格兰皇家银行	【蘇】格蘭皇家銀行
美国总统克林顿	美國總統【克】林頓
犯罪嫌疑人抓获	犯罪嫌疑人抓【獲】
次参拜靖国神社	次【參】拜靖國神社
进行了批评教育	進行【了】批評教育
解铃还须系铃人	解鈴還【須】【係】鈴人
每个人只有一次	每個人【只】有一次
并不能从根本上	【並】不能從根本上
我该怎么去面对	我該怎麼去【面】對
的目的不是为了	的目的不是爲【了】
爱丽丝梦游仙境	愛麗絲夢【遊】仙境
怎一个爽字了得	怎一個爽字【了】得
国家发改委日前	國家【發】改委日前
八一电影制片厂	八一電影【制】片廠
相声表演艺术家	相聲【表】演藝【術】家
获得中国证监会	【獲】得中國證監會
问题的症结所在	問題的【症】結所在
中央革命根据地	中央革命根【據】地
据有关人士透露	【據】有關人士透露
爱在心里口难开	愛在心【里】口難開
维也纳爱乐乐团	維也納愛樂樂【團】
跨越式发展战略	跨越式【發】展戰略
扩大农产品出口	擴大農產品【出】口
在北京师范大学	在北京師【範】大學
提供了可乘之机	提供【了】可乘之機
于美国当地时间	於美國【當】地時間
和平发展的道路	和平【發】展的道路
一系列社会问题	一【係】列社會問題
两国关系的发展	兩國關【係】的【發】展
改变了我的人生	改變【了】我的人生
在同一个城市里	在【同】一個城市【里】
奥林匹克大家庭	奧林匹【克】大家庭
都发生在我身上	都【發】生在我身上
中国科学技术馆	中國科學技【術】館
表达自己的意见	【表】達自己的意見
中国烟草总公司	中國【煙】草總公司
不为五斗米折腰	不爲五【鬭】米【折】腰
中央气象台预报	中央氣象【臺】預報
射频同轴连接器	射頻【同】軸連接器
为了实现自己的	爲【了】實現自己的
据俄罗斯新闻网	【據】俄羅斯新聞網
那一天你会发现	那一天你會【發】現
上梁不正下梁歪	上【樑】不正下【樑】歪
公布的数字显示	公【佈】的數字顯示
云中谁寄锦书来	【雲】中誰寄錦書來
只是你在我身边	【只】是你在我身邊
你们还是保持了	你們還是保持【了】
新一代操作系统	新一代操作【係】統
思念总在分手后	思念總在分手【後】
我只爱你一个人	我【只】愛你一個人
并不代表我快乐	【並】不代【表】我快樂
好了不和你说了	好【了】不和你說【了】
千里姻缘一线牵	【千】【里】姻緣一線牽
股权分置改革后	股權分置改革【後】
向联合国安理会	【向】聯合國安理會
岁岁年年人不同	歲歲年年人不【同】
范布隆克霍斯特	【範】【佈】隆【克】霍斯特
国民党荣誉主席	國民【黨】榮譽主席
下一页发表评论	下一頁【發】【表】評論
胡锦涛主席访问	【胡】錦濤主席訪問
良药苦口利于病	良【藥】苦口利於病
看看外面的世界	看看外【面】的世界
好久不见你了啊	好久不見你【了】啊
国际事务中发挥	國際事務中【發】揮
出现频率最高的	【出】現頻率最高的
计算机辅助制造	計算機輔助【制】造
的时候发现自己	的時候【發】現自己
乱红飞过秋千去	亂紅飛過【秋】【千】去
春有百花秋有月	春有百花【秋】有月
形成了鲜明对比	形成【了】鮮明對比
中国国家发改委	中國國家【發】改委
你现在在哪里呢	你現在在哪【里】呢
脑子里一片空白	腦子【里】一片空白
腾讯计算机系统	騰訊計算機【係】統
长效口服避孕药	長效口服避孕【藥】
那我不打扰你了	那我不打擾你【了】
忘了你我做不到	忘【了】你我做不到
捐献造血干细胞	捐獻造血【幹】細胞
检察院批准逮捕	檢察院批【準】逮捕
发动伊拉克战争	【發】動伊拉【克】戰爭
据英国广播公司	【據】英國廣播公司
有关人士向记者	有關人士【向】記者
知人知面不知心	知人知【面】不知心
可持续发展基金	可持續【發】展基金
获得奥斯卡最佳	【獲】得奧斯卡最佳
后宫佳丽三千人	【後】宮佳麗三【千】人
什么时候回来呀	什麼時候【回】來呀
已得到有效控制	已得到有效控【制】
不拘一格降人才	不拘一格降人【才】
你不是看到了吗	你不是看到【了】嗎
奥林匹克精神的	奧林匹【克】精神的
一曲新词酒一杯	一【曲】新詞酒一杯
明朝散发弄扁舟	明朝散【發】弄扁舟
无法控制自己的	無法控【制】自己的
拒人于千里之外	拒人於【千】【里】之外
复杂的人际关系	【復】雜的人際關【係】
有关方面了解到	有關方【面】【了】解到
并不是我想象的	【並】不是我想象的
当男人爱上女人	【當】男人愛上女人
根据需要和可能	根【據】需要和可能
错综复杂的关系	錯綜【復】雜的關【係】
表现不尽如人意	【表】現不【盡】如人意
梅里斯达斡尔族	梅【里】斯達斡爾族
欧洲经济共同体	歐洲經濟共【同】體
贸易代表办公室	貿易代【表】辦公室
拜科努尔发射场	拜科努爾【發】射場
错综复杂的剧情	錯綜【復】雜的劇情
和乌兹别克斯坦	和烏茲【別】【克】斯坦
美术电影制片厂	美【術】電影【制】片廠
在乌兹别克斯坦	在烏茲【別】【克】斯坦
好久没有上网了	好久沒有上網【了】
伊拉克安全部队	伊拉【克】安全部隊
多媒体光盘制作	多媒體光盤【制】作
你现在在哪里啊	你現在在哪【里】啊
远近高低各不同	遠近高低各不【同】
普通高校艺术类	普通高校藝【術】類
大厂回族自治县	大廠【回】族自治縣
进行了现场直播	進行【了】現場直播
负责人明确表示	負責人明確【表】示
现在的我忘记了	現在的我忘記【了】
非线性控制系统	非線性控【制】【係】統
为了满足自己的	爲【了】滿足自己的
同美国总统布什	【同】美國總統【佈】什
管不了那么多了	管不【了】那麼多【了】
什么也没有发生	什麼也沒有【發】生
动态链接库文件	動態【鏈】接庫文件
在双方共同努力	在雙方共【同】努力
游戏机实用技术	【遊】戲機實用技【術】
识时务者为俊杰	識時務者爲俊【傑】
一枝红杏出墙来	一枝紅杏【出】牆來
横眉冷对千夫指	橫眉冷對【千】夫指
新的一年又来了	新的一年又來【了】
维护发展中国家	維護【發】展中國家
记者采访了解到	記者【採】訪【了】解到
万丈高楼平地起	【萬】丈高樓平地起
并没有想象中的	【並】沒有想象中的
共计折合人民币	共計【折】合人民幣
为什么会有这种	爲什麼會有這【種】
凤凰台上忆吹箫	鳳凰【臺】上憶吹簫
提供的数据表明	提供的數【據】【表】明
太阳从西边出来	太陽從西邊【出】來
确定了恋爱关系	確定【了】戀愛關【係】
提供了这样一个	提供【了】這樣一個
吃亏就是占便宜	吃虧就是【佔】便宜
一个萝卜一个坑	一個蘿【卜】一個坑
宣布无条件投降	宣【佈】無條件投降
奔流到海不复回	奔流到海不【復】【回】
找不到回家的路	找不到【回】家的路
因为工作的关系	因爲工作的關【係】
引人注目的就是	引人【注】目的就是
经历过风风雨雨	經【歷】過風風雨雨
叱咤乐坛流行榜	叱吒樂【壇】流行榜
酒逢知己千杯少	酒逢知己【千】杯少
了股权分置改革	【了】股權分置改革
日参拜靖国神社	日【參】拜靖國神社
美国总统尼克松	美國總統尼【克】【鬆】
我再也不理你了	我再也不理你【了】
只有和你在一起	【只】有和你在一起
病树前头万木春	病樹前頭【萬】木春
因为你在我心里	因爲你在我心【里】
这个世界上只有	這個世界上【只】有
生命中的第几个	生命中的第【幾】個
台湾当局领导人	【臺】灣【當】局領導人
表现得非常优秀	【表】現得非常優秀
赢得青楼薄幸名	贏得青樓薄【幸】名
伊拉克武装人员	伊拉【克】武裝人員
客户端下载链接	客戶端下載【鏈】接
青出于蓝胜于蓝	青【出】於藍勝於藍
召开了紧急会议	召開【了】緊急會議
莫待无花空折枝	莫待無花空【折】枝
另一种生活方式	另一【種】生活方式
我是真的受伤了	我是真的受傷【了】
白发人送黑发人	白【發】人送黑【發】人
据香港星岛日报	【據】香港星島日報
西出阳关无故人	西【出】陽關無故人
理所当然的事情	理所【當】然的事情
创历史最高记录	創【歷】史最高記錄
人怕出名猪怕壮	人怕【出】名豬怕壯
孟村回族自治县	孟村【回】族自治縣
上海中心气象台	上海中心氣象【臺】
证实了这一消息	證實【了】這一消息
我才知道要珍惜	我【才】知道要珍惜
黑云压城城欲摧	黑【雲】壓城城【欲】摧
公司的法人代表	公司的法人代【表】
松桃苗族自治县	【鬆】桃苗族自治縣
在前面说了什么	在前【面】說【了】什麼
桃花潭水深千尺	桃花潭水深【千】尺
时间长了就好了	時間長【了】就好【了】
无党派民主人士	無【黨】派民主人士
两岸关系发展的	兩岸關【係】【發】展的
你现在干什么呢	你現在【幹】什麼呢
淋漓尽致不痛快	淋【漓】【盡】【致】不痛快
医学衷中参西录	醫學衷中【參】西錄
不是已经拿到了	不是已經拿到【了】
沉迷于网络游戏	沉迷於網絡【遊】戲
女子无才便是德	女子無【才】便是德
现在都得到幸福	現在都得到【幸】福
一块石头落了地	一塊石頭落【了】地
幸福美满的生活	【幸】福美滿的生活
向世界贸易组织	【向】世界貿易組織
拔出萝卜带出泥	拔【出】蘿【卜】帶【出】泥
完全不同的世界	完全不【同】的世界
最大的不同之处	最大的不【同】之處
无以复加的地步	無以【復】加的地步
马上就要开始了	馬上就要開始【了】
网络出版管理司	網絡【出】版管理司
在博鳌亚洲论坛	在博鰲亞洲論【壇】
也是一种很好的	也是一【種】很好的
万里长征人未还	【萬】【里】長【徵】人未還
解决不了问题的	解決不【了】問題的
东风夜放花千树	東風夜放花【千】樹
不能控制自己的	不能控【制】自己的
得了便宜还卖乖	得【了】便宜還賣乖
在伊拉克遭绑架	在伊拉【克】遭綁架
最终还是选择了	最終還是選擇【了】
新闻出版总署等	新聞【出】版總署等
发放录取通知书	【發】放錄取通知書
乌兹别克斯坦的	烏茲【別】【克】斯坦的
双方的共同利益	雙方的共【同】利益
参加高考的学生	【參】加高考的學生
就什么都没有了	就什麼都沒有【了】
只在乎曾经拥有	【只】在乎曾經擁有
两国人民带来了	兩國人民帶來【了】
好长时间没见了	好長時間沒見【了】
据中国人民银行	【據】中國人民銀行
苏格兰格拉斯哥	【蘇】格蘭格拉斯哥
网络游戏运营商	網絡【遊】戲運營商
