科技发展有限公司	科技【發】展有限公司
尽信书则不如无书	【盡】信書則不如無書
中枢神经系统障碍	中樞神經【係】統障礙
活要见人死要见尸	活要見人死要見【屍】
失之毫厘谬以千里	失之毫釐謬以【千】【里】
律师执业行为规范	律師執業行爲規【範】
啊啊啊啊啊啊暗暗	啊啊啊啊啊啊【暗】【暗】
明修栈道暗度陈仓	明修棧道【暗】度陳倉
西班牙皇家马德里	西班牙皇家馬德【里】
早日康复早日康复	早日康【復】早日康【復】
既有今日何必当初	既有今日何必【當】初
不知道为什么心里	不知道爲什麼心【里】
周期非特异性药物	【周】期非特異性【藥】物
王子犯法与民同罪	王子犯法與民【同】罪
这份感情难分难舍	這份感情難分難【舍】
在房间里走来走去	在房間【里】走來走去
直到今天我才知道	直到今天我【才】知道
比赛中的精彩瞬间	比賽中的精【彩】瞬間
有一分热发一分光	有一分熱【發】一分光
媒体访问控制协议	媒體訪問控【制】協議
里姆斯基柯萨科夫	【里】姆斯基柯薩科夫
小儿化痰止咳冲剂	小兒化痰止咳【衝】劑
提出股权分置改革	提【出】股權分置改革
二人同心其利断金	二人【同】心其利斷金
安徽省教育出版社	安徽省教育【出】版社
采取不正当的手段	【採】取不正【當】的手段
什么时候才能回来	什麼時候【才】能【回】來
皇家马德里俱乐部	皇家馬德【里】俱樂部
芬克的熔岩挖掘器	芬【克】的熔【巖】挖掘器
通常不是同一个人	通常不是【同】一個人
白刀子进红刀子出	白刀子進紅刀子【出】
从善如登从恶如崩	從善如登從【惡】如崩
里姆斯基科萨科夫	【里】姆斯基科薩科夫
只用了十分钟不到	【只】用【了】十分【鍾】不到
只此一家别无分店	【只】此一家【別】無分店
即插即用操作系统	即插即用操作【係】統
下笔千言离题万里	下筆【千】言離題【萬】【里】
小儿速效感冒冲剂	小兒速效感冒【衝】劑
大星术师索兰莉安	大星【術】師索蘭莉安
我一个人迎面而来	我一個人迎【面】而來
丑媳妇总得见公婆	【醜】媳婦總得見公婆
最近不知道怎么了	最近不知道怎麼【了】
仇人见面分外眼红	【仇】人見【面】分外眼紅
点击更多精彩内容	點擊更多精【彩】內容
证券期货监管系统	證券期貨監管【係】統
椭圆曲线密码体制	橢圓【曲】線密碼體【制】
在某一天回到从前	在某一天【回】到從前
肺泡表面活性物质	肺泡【表】【面】活性物質
春夏秋冬有多少人	春夏【秋】【冬】有多少人
法国国家交响乐团	法國國家交響樂【團】
出其不意攻其无备	【出】其不意攻其無備
病从口入祸从口出	病從口入禍從口【出】
好话说尽坏事做绝	好話說【盡】壞事做絕
坚持参拜靖国神社	堅持【參】拜靖國神社
硫酸软骨素注射液	硫酸軟骨素【注】射液
可编程控制计算机	可編程控【制】計算機
树高千丈叶落归根	樹高【千】丈葉落歸根
不知道该怎么表达	不知道該怎麼【表】達
综合决策支持系统	綜合決策支持【係】統
西游记之仙履奇缘	西【遊】記之仙履奇緣
差以毫厘谬以千里	差以毫釐謬以【千】【里】
当面是人背后是鬼	【當】【面】是人背【後】是鬼
进思尽忠退思补过	進思【盡】忠退思補過
