11
论坛	論壇
彩花	【彩】花
里里	【里】【里】
阿杰	阿【傑】
总台	總【臺】
别闹	【別】鬧
玉面	玉【面】
晃荡	晃【蕩】
同里	【同】【里】
云母	【雲】母
云大	【雲】大
夺了	奪【了】
地后	地【後】
了现	【了】現
歇了	歇【了】
布阵	【佈】陣
涂布	塗【佈】
出校	【出】校
冲下	【衝】下
掏了	掏【了】
欲无	【欲】無
云我	【雲】我
撇了	撇【了】
客了	客【了】
的注	的【注】
乖了	乖【了】
视了	視【了】
美制	美【制】
杰西	【傑】西
里冲	【里】【衝】
复函	【復】函
扬了	揚【了】
准是	【準】是
换药	換【藥】
红云	紅【雲】
也干	也【幹】
同款	【同】款
余次	【餘】次
驶出	駛【出】
使尽	使【盡】
菌种	菌【種】
烟水	【煙】水
卡后	卡【後】
只鱼	【只】魚
朱莉	【朱】莉
月出	月【出】
恒升	恆【升】
处了	處【了】
中苏	中【蘇】
筋斗	筋【鬭】
甩出	甩【出】
的御	的【御】
里挤	【里】擠
喘了	喘【了】
普里	普【里】
了吴	【了】吳
成团	成【團】
出航	【出】航
她同	她【同】
门帘	門【簾】
发下	【發】下
行板	行【板】
古板	古【板】
为向	爲【向】
前了	前【了】
当周	【當】【周】
嗦了	嗦【了】
当起	【當】起
了时	【了】時
拉蒙	拉【蒙】
卷上	【捲】上
致其	【致】其
丰腴	【豐】腴
发些	【發】些
借酒	【借】酒
西征	西【徵】
几幅	【幾】幅
二只	二【只】
后点	【後】點
了苏	【了】【蘇】
场了	場【了】
面之	【面】之
缩回	縮【回】
烹制	烹【制】
余里	【餘】【里】
想冲	想【衝】
岁才	歲【才】
滑出	滑【出】
克莉	【克】莉
杏里	杏【里】
制为	【制】爲
泄了	泄【了】
赛制	賽【制】
黄秋	黃【秋】
扳回	扳【回】
理当	理【當】
胶布	膠【佈】
高干	高【幹】
墓志	墓【志】
三才	三【才】
冬去	【冬】去
的尽	的【盡】
逃回	逃【回】
尽带	【盡】帶
暗忖	【暗】忖
和彩	和【彩】
吃面	吃【面】
几座	【幾】座
蜡染	【蠟】染
过千	過【千】
对后	對【後】
种性	【種】性
舍瓦	【舍】瓦
当阳	【當】陽
拦了	攔【了】
铰链	鉸【鏈】
了毛	【了】毛
种后	【種】【後】
被发	被【發】
他后	他【後】
了剑	【了】劍
克孜	【克】孜
克兰	【克】蘭
了送	【了】送
蒙的	【蒙】的
伙的	【夥】的
了法	【了】法
向党	【向】【黨】
干咳	【幹】咳
说当	說【當】
万金	【萬】金
米面	米【面】
月坛	月【壇】
回那	【回】那
万宁	【萬】寧
炒了	炒【了】
现了	現【了】
朱熹	【朱】熹
绚彩	絢【彩】
干湿	【幹】濕
了碗	【了】碗
系一	【係】一
干草	【幹】草
发两	【發】兩
干舌	【幹】舌
药都	【藥】都
周波	【周】波
有万	有【萬】
千日	【千】日
向以	【向】以
月向	月【向】
的斗	的【鬭】
辟邪	【闢】邪
城了	城【了】
后或	【後】或
了巴	【了】巴
了刚	【了】剛
折弯	【折】彎
云路	【雲】路
飘向	飄【向】
表在	【表】在
调回	調【回】
后话	【後】話
沈城	【瀋】城
面熟	【面】熟
就摆	就【擺】
被后	被【後】
药液	【藥】液
旅团	旅【團】
英台	英【臺】
布面	【佈】【面】
和回	和【回】
复员	【復】員
志刚	【志】剛
了船	【了】船
就系	就【係】
十卷	十【捲】
扎卡	【扎】卡
面后	【面】【後】
里士	【里】士
了绿	【了】綠
再升	再【升】
这伙	這【夥】
几元	【幾】元
晚回	晚【回】
发愣	【發】愣
冲昏	【衝】昏
航向	航【向】
胡瓜	【胡】瓜
飚升	飈【升】
里让	【里】讓
绝种	絕【種】
课表	課【表】
回第	【回】第
烟熏	【煙】【熏】
万日	【萬】日
大才	大【才】
夸耀	【誇】耀
板内	【板】內
参演	【參】演
站里	站【里】
丰泽	【豐】澤
染了	染【了】
心才	心【才】
完才	完【才】
里上	【里】上
后置	【後】置
寒舍	寒【舍】
以发	以【發】
坑里	坑【里】
单发	單【發】
复述	【復】述
发冷	【發】冷
侧向	側【向】
制出	【制】【出】
只恨	【只】恨
富了	富【了】
别听	【別】聽
了银	【了】銀
摆到	【擺】到
秋游	【秋】【遊】
了方	【了】方
魂曲	魂【曲】
着同	著【同】
和出	和【出】
锌板	鋅【板】
困龙	【困】龍
只出	【只】【出】
和了	和【了】
采写	【採】寫
病后	病【後】
了秦	【了】秦
千吨	【千】噸
才换	【才】換
胡杨	【胡】楊
了皮	【了】皮
布基	【佈】基
借势	【借】勢
杰士	【傑】士
瑞丰	瑞【豐】
你借	你【借】
余台	【餘】【臺】
劫后	劫【後】
板型	【板】型
万端	【萬】端
鼓里	鼓【里】
面为	【面】爲
苏浙	【蘇】浙
暗里	【暗】【里】
了奥	【了】奧
地同	地【同】
只放	【只】放
几月	【幾】月
腌制	【醃】【制】
初尝	初【嘗】
蒙恬	【蒙】恬
奸杀	【奸】殺
划入	【劃】入
藏药	藏【藥】
发兵	【發】兵
水了	水【了】
复的	【復】的
只准	【只】【準】
了亏	【了】虧
雅筑	雅【築】
暗沉	【暗】沉
了旧	【了】舊
又折	又【折】
抛向	拋【向】
了往	【了】往
录了	錄【了】
女仆	女【僕】
药量	【藥】量
连台	連【臺】
余位	【餘】位
嘱托	囑【托】
帘子	【簾】子
仙游	仙【遊】
和梁	和【樑】
胡润	【胡】潤
莫里	莫【里】
挨刀	【挨】刀
才发	【才】【發】
了汉	【了】漢
要占	要【佔】
年同	年【同】
复工	【復】工
了已	【了】已
华丰	華【豐】
肯干	肯【幹】
拂面	拂【面】
频出	頻【出】
别是	【別】是
松果	【鬆】果
了接	【了】接
有台	有【臺】
肉了	肉【了】
了进	【了】進
后需	【後】需
余项	【餘】項
尸首	【屍】首
出洞	【出】洞
万壑	【萬】壑
尝了	【嘗】【了】
雅克	雅【克】
塔克	塔【克】
据实	【據】實
日同	日【同】
日台	日【臺】
奏出	奏【出】
干上	【幹】上
踪了	蹤【了】
水冲	水【衝】
鬼了	鬼【了】
很脏	很【髒】
拜了	拜【了】
台币	【臺】幣
友台	友【臺】
里正	【里】正
种猪	【種】豬
药片	【藥】片
卤素	【滷】素
仇的	【仇】的
店了	店【了】
朵云	朵【雲】
光采	光【採】
恼了	惱【了】
千度	【千】度
才两	【才】兩
小杰	小【傑】
了米	【了】米
拼布	拼【佈】
了云	【了】【雲】
沂蒙	沂【蒙】
制是	【制】是
千佛	【千】佛
中同	中【同】
搭了	搭【了】
布偶	【佈】偶
里三	【里】三
以党	以【黨】
卤水	【滷】水
想只	想【只】
后该	【後】該
号后	號【後】
城后	城【後】
炼焦	【煉】焦
伴游	伴【遊】
啊当	啊【當】
回拨	【回】撥
万佳	【萬】佳
一摆	一【擺】
者占	者【佔】
凶光	【兇】光
云林	【雲】林
余香	【餘】香
才二	【才】二
诬蔑	誣【蔑】
云是	【雲】是
耳里	耳【里】
伤后	傷【後】
并想	【並】想
他别	他【別】
到出	到【出】
同天	【同】天
者须	者【須】
复刻	【復】刻
了江	【了】江
倒向	倒【向】
万民	【萬】民
纤手	【纖】手
表时	【表】時
占优	【佔】優
垮台	垮【臺】
可并	可【並】
须向	【須】【向】
蒙羞	【蒙】羞
了放	【了】放
周文	【周】文
只大	【只】大
松紧	【鬆】緊
干干	【幹】【幹】
征点	【徵】點
了木	【了】木
新丰	新【豐】
卡托	卡【托】
舞团	舞【團】
冻僵	凍【僵】
云阳	【雲】陽
与苏	與【蘇】
里干	【里】【幹】
千亩	【千】畝
千件	【千】件
并到	【並】到
了叶	【了】葉
运回	運【回】
台日	【臺】日
彩钢	【彩】鋼
暗之	【暗】之
带几	帶【幾】
占着	【佔】著
时当	時【當】
里流	【里】流
暗叫	【暗】叫
到才	到【才】
风了	風【了】
同场	【同】場
又同	又【同】
冲走	【衝】走
下卷	下【捲】
欲裂	【欲】裂
并立	【並】立
后跟	【後】跟
致残	【致】殘
批斗	批【鬭】
了深	【了】深
只取	【只】取
毫发	毫【發】
获此	【獲】此
一系	一【係】
缓了	緩【了】
干起	【幹】起
干裂	【幹】裂
起后	起【後】
可采	可【採】
但几	但【幾】
御姐	【御】姐
恶之	【惡】之
篮彩	籃【彩】
敷面	敷【面】
叶面	葉【面】
热板	熱【板】
丑丑	【醜】【醜】
暗叹	【暗】嘆
钟书	【鍾】書
身了	身【了】
出话	【出】話
了生	【了】生
后送	【後】送
并交	【並】交
到千	到【千】
别不	【別】不
朱唇	【朱】唇
磨炼	磨【煉】
朱军	【朱】軍
同出	【同】【出】
药时	【藥】時
像了	像【了】
斗大	【鬭】大
便回	便【回】
就几	就【幾】
十台	十【臺】
车向	車【向】
这当	這【當】
熏香	【熏】香
快干	快【幹】
欲破	【欲】破
别吵	【別】吵
里到	【里】到
招术	招【術】
曲奇	【曲】奇
当该	【當】該
请出	請【出】
占去	【佔】去
余辉	【餘】輝
了热	【了】熱
纤腰	【纖】腰
尽如	【盡】如
安了	安【了】
盯了	盯【了】
但别	但【別】
这了	這【了】
私了	私【了】
重游	重【遊】
的困	的【困】
威克	威【克】
此药	此【藥】
布奇	【佈】奇
万难	【萬】難
志远	【志】遠
几级	【幾】級
女同	女【同】
梁的	【樑】的
未干	未【幹】
只够	【只】夠
钟一	【鍾】一
后易	【後】易
又只	又【只】
卢布	盧【佈】
斯里	斯【里】
出锅	【出】鍋
幸喜	【幸】喜
周新	【周】新
时后	時【後】
炼厂	【煉】廠
了未	【了】未
余音	【餘】音
药王	【藥】王
同题	【同】題
飘欲	飄【欲】
岩的	【巖】的
占位	【佔】位
了背	【了】背
须用	【須】用
从别	從【別】
只将	【只】將
小朱	小【朱】
暗含	【暗】含
汇到	【匯】到
了活	【了】活
后买	【後】買
云散	【雲】散
情只	情【只】
手托	手【托】
需向	需【向】
千条	【千】條
一划	一【劃】
哭出	哭【出】
保志	保【志】
布托	【佈】【托】
到苏	到【蘇】
冲泡	【衝】泡
吸干	吸【幹】
都摆	都【擺】
翻云	翻【雲】
折纸	【折】紙
钟祥	【鍾】祥
了孙	【了】孫
药企	【藥】企
好当	好【當】
饭团	飯【團】
欲念	【欲】念
布依	【佈】依
脚链	腳【鏈】
冲级	【衝】級
收出	收【出】
撕了	撕【了】
干么	【幹】麼
里当	【里】【當】
阔别	闊【別】
了猪	【了】豬
克塞	【克】塞
黑松	黑【鬆】
制得	【制】得
耳后	耳【後】
于向	於【向】
数里	數【里】
划的	【劃】的
注了	【注】【了】
已回	已【回】
折中	【折】中
只加	【只】加
默克	默【克】
脱困	脫【困】
后出	【後】【出】
缙云	縉【雲】
彩照	【彩】照
暂别	暫【別】
了鬼	【了】鬼
获刑	【獲】刑
晚秋	晚【秋】
大幸	大【幸】
后多	【後】多
台美	【臺】美
朱朱	【朱】【朱】
出栏	【出】欄
房舍	房【舍】
据市	【據】市
话只	話【只】
同族	【同】族
锁链	鎖【鏈】
矮了	矮【了】
范德	【範】德
苏童	【蘇】童
同党	【同】【黨】
了文	【了】文
烟民	【煙】民
带面	帶【面】
意表	意【表】
出字	【出】字
欲说	【欲】說
小向	小【向】
老干	老【幹】
了换	【了】換
台糖	【臺】糖
后浪	【後】浪
抛了	拋【了】
后车	【後】車
清云	清【雲】
扎西	【扎】西
刚回	剛【回】
面纸	【面】紙
台在	【臺】在
岩岩	【巖】【巖】
哪只	哪【只】
就发	就【發】
升一	【升】一
了队	【了】隊
市占	市【佔】
克等	【克】等
灵台	靈【臺】
俯冲	俯【衝】
表第	【表】第
额占	額【佔】
反制	反【制】
漏出	漏【出】
惹了	惹【了】
上卷	上【捲】
画布	畫【佈】
僵了	【僵】【了】
历久	【歷】久
估了	估【了】
结扎	結【扎】
狂了	狂【了】
地只	地【只】
面还	【面】還
扭了	扭【了】
只赚	【只】賺
余部	【餘】部
几斤	【幾】斤
板岩	【板】【巖】
周上	【周】上
力发	力【發】
是托	是【托】
班了	班【了】
千钧	【千】鈞
文了	文【了】
卷材	【捲】材
药酒	【藥】酒
当歌	【當】歌
云雀	【雲】雀
尽一	【盡】一
秋分	【秋】分
七千	七【千】
全才	全【才】
采药	【採】【藥】
彩页	【彩】頁
致密	【致】密
妙了	妙【了】
了艾	【了】艾
药三	【藥】三
药费	【藥】費
周初	【周】初
及后	及【後】
早出	早【出】
疑凶	疑【兇】
移了	移【了】
牵出	牽【出】
了索	【了】索
购了	購【了】
了卖	【了】賣
发好	【發】好
洛舍	洛【舍】
丑化	【醜】化
岩洞	【巖】洞
鞋面	鞋【面】
古里	古【里】
鞋柜	鞋【櫃】
队后	隊【後】
领回	領【回】
了哎	【了】哎
了唉	【了】唉
借读	【借】讀
浸出	浸【出】
肥了	肥【了】
别家	【別】家
梁平	【樑】平
了次	【了】次
了离	【了】離
将回	將【回】
得丑	得【醜】
王蒙	王【蒙】
才问	【才】問
后至	【後】至
别笑	【別】笑
万有	【萬】有
后盖	【後】蓋
板楼	【板】樓
荡妇	【蕩】婦
了佛	【了】佛
后走	【後】走
冲劲	【衝】勁
表二	【表】二
将占	將【佔】
类药	類【藥】
只母	【只】母
手游	手【遊】
干吧	【幹】吧
之秋	之【秋】
发青	【發】青
闻了	聞【了】
药有	【藥】有
术数	【術】數
大摆	大【擺】
里跳	【里】跳
喂你	【餵】你
成仇	成【仇】
折返	【折】返
脸了	臉【了】
杂坛	雜【壇】
通奸	通【奸】
诗云	詩【雲】
钱柜	錢【櫃】
玻纤	玻【纖】
同她	【同】她
当机	【當】機
后这	【後】這
二面	二【面】
面等	【面】等
以向	以【向】
了课	【了】課
划开	【劃】開
真凶	真【兇】
云帆	【雲】帆
母系	母【係】
万峰	【萬】峰
倾尽	傾【盡】
九万	九【萬】
径向	徑【向】
李杰	李【傑】
绘出	繪【出】
板起	【板】起
了烟	【了】【煙】
象只	象【只】
娘们	【娘】們
附后	附【後】
了谢	【了】謝
人借	人【借】
诱奸	誘【奸】
才找	【才】找
了躺	【了】躺
划转	【劃】轉
了痛	【了】痛
缘尽	緣【盡】
哑了	啞【了】
暗色	【暗】色
余天	【餘】天
了票	【了】票
苍松	蒼【鬆】
后报	【後】報
斗数	【鬭】數
了部	【了】部
印出	印【出】
几集	【幾】集
为万	爲【萬】
何干	何【幹】
后翻	【後】翻
里卡	【里】卡
出刀	【出】刀
灵药	靈【藥】
种质	【種】質
配发	配【發】
舍命	【舍】命
端出	端【出】
吟游	吟【遊】
阵发	陣【發】
院团	院【團】
开坛	開【壇】
罗克	羅【克】
了狂	【了】狂
千江	【千】江
借故	【借】故
位后	位【後】
表名	【表】名
面在	【面】在
布条	【佈】條
迸出	迸【出】
偏了	偏【了】
该回	該【回】
与胡	與【胡】
松岗	【鬆】崗
信里	信【里】
每升	每【升】
铜梁	銅【樑】
的术	的【術】
时别	時【別】
扎吉	【扎】吉
真当	真【當】
首只	首【只】
岩松	【巖】【鬆】
卷帘	【捲】【簾】
劈了	劈【了】
发愤	【發】憤
冲杀	【衝】殺
养出	養【出】
晾干	晾【幹】
登了	登【了】
里吧	【里】吧
吓出	嚇【出】
考据	考【據】
与布	與【佈】
蒙山	【蒙】山
了相	【了】相
杜克	杜【克】
回款	【回】款
发第	【發】第
同根	【同】根
几朵	【幾】朵
谁干	誰【幹】
党参	【黨】【參】
碧云	碧【雲】
只来	【只】來
扎营	【扎】營
了店	【了】店
同舟	【同】舟
永发	永【發】
郁结	【鬱】結
的借	的【借】
吹出	吹【出】
六折	六【折】
贸发	貿【發】
吃尽	吃【盡】
冬梅	【冬】梅
淫欲	淫【欲】
扎伊	【扎】伊
糊了	糊【了】
爸了	爸【了】
首面	首【面】
给几	給【幾】
捧出	捧【出】
油了	油【了】
苏军	【蘇】軍
克是	【克】是
堵了	堵【了】
里可	【里】可
分种	分【種】
采煤	【採】煤
东征	東【徵】
燃尽	燃【盡】
只选	【只】選
在胡	在【胡】
云图	【雲】圖
据理	【據】理
空荡	空【蕩】
同吃	【同】吃
金雕	金【雕】
出塞	【出】塞
了月	【了】月
晒后	曬【後】
吴克	吳【克】
精舍	精【舍】
欲借	【欲】【借】
边了	邊【了】
台地	【臺】地
须由	【須】由
里地	【里】地
封后	封【後】
版里	版【里】
高志	高【志】
并自	【並】自
暗月	【暗】月
金台	金【臺】
及了	及【了】
暗涌	【暗】涌
刀向	刀【向】
物尽	物【盡】
闭了	閉【了】
堆了	堆【了】
只这	【只】這
柴胡	柴【胡】
无云	無【雲】
路云	路【雲】
小云	小【雲】
巧了	巧【了】
鱼游	魚【遊】
涂了	塗【了】
才学	【才】學
头几	頭【幾】
卷毛	【捲】毛
的范	的【範】
了啥	【了】啥
了明	【了】明
克说	【克】說
和云	和【雲】
调了	調【了】
上柜	上【櫃】
照出	照【出】
机台	機【臺】
托夫	【托】夫
发飘	【發】飄
了院	【了】院
粉面	粉【面】
万泉	【萬】泉
后连	【後】連
获选	【獲】選
辩台	辯【臺】
特药	特【藥】
周大	【周】大
准点	【準】點
宝丰	寶【豐】
黑云	黑【雲】
对别	對【別】
地并	地【並】
心只	心【只】
李志	李【志】
后打	【後】打
光面	光【面】
冷柜	冷【櫃】
了紫	【了】紫
戒了	戒【了】
台帐	【臺】帳
困于	【困】於
能同	能【同】
历害	【歷】害
谷类	【谷】類
年出	年【出】
别出	【別】【出】
才收	【才】收
了拿	【了】拿
去别	去【別】
表内	【表】內
千遍	【千】遍
了徐	【了】徐
一板	一【板】
数种	數【種】
长吁	長【籲】
跨了	跨【了】
发哥	【發】哥
略同	略【同】
出太	【出】太
党工	【黨】工
在克	在【克】
实了	實【了】
考出	考【出】
了安	【了】安
恶霸	【惡】霸
干式	【幹】式
了宋	【了】宋
案卷	案【捲】
柯克	柯【克】
表就	【表】就
后端	【後】端
征名	【徵】名
饥寒	【飢】寒
了仙	【了】仙
本表	本【表】
丰华	【豐】華
没当	沒【當】
些了	些【了】
吕克	呂【克】
斩获	斬【獲】
尽欢	【盡】歡
制取	【制】取
无回	無【回】
可回	可【回】
范式	【範】式
布设	【佈】設
发吧	【發】吧
和千	和【千】
了言	【了】言
而向	而【向】
托我	【托】我
广丰	廣【豐】
别后	【別】【後】
说才	說【才】
海丰	海【豐】
膏药	膏【藥】
般向	般【向】
应万	應【萬】
乌苏	烏【蘇】
了怕	【了】怕
了夏	【了】夏
瓶里	瓶【里】
编出	編【出】
也尽	也【盡】
面面	【面】【面】
在沈	在【瀋】
帮困	幫【困】
之云	之【雲】
出以	【出】以
宏发	宏【發】
分后	分【後】
万尼	【萬】尼
底了	底【了】
植松	植【鬆】
续签	續【籖】
发钱	【發】錢
花布	花【佈】
了油	【了】油
也占	也【佔】
是恶	是【惡】
出千	【出】【千】
那了	那【了】
层板	層【板】
所托	所【托】
了枪	【了】槍
出上	【出】上
了朱	【了】【朱】
别吃	【別】吃
面漆	【面】漆
外发	外【發】
了抓	【了】抓
印了	印【了】
重托	重【托】
奴仆	奴【僕】
人须	人【須】
麦冬	麥【冬】
了按	【了】按
悲戚	悲【戚】
了鱼	【了】魚
之托	之【托】
帐面	帳【面】
只鸡	【只】雞
烟圈	【煙】圈
了夜	【了】夜
息后	息【後】
占该	【佔】該
了易	【了】易
丽舍	麗【舍】
乏术	乏【術】
反斗	反【鬭】
搭台	搭【臺】
比同	比【同】
几组	【幾】組
回港	【回】港
团到	【團】到
别个	【別】個
志雄	【志】雄
回迁	【回】遷
包烟	包【煙】
却向	卻【向】
出爱	【出】愛
沈静	【瀋】靜
丰韵	【豐】韻
系由	【係】由
拒签	拒【籖】
千橡	【千】橡
孟姜	孟【薑】
杰瑞	【傑】瑞
岩村	【巖】村
云顶	【雲】頂
扶了	扶【了】
只消	【只】消
遮面	遮【面】
顺发	順【發】
后切	【後】切
迁出	遷【出】
复数	【復】數
激斗	激【鬭】
谷雨	【谷】雨
那团	那【團】
御剑	【御】劍
命里	命【里】
发颤	【發】顫
志良	【志】良
了捏	【了】捏
台达	【臺】達
折桂	【折】桂
了难	【了】難
里几	【里】【幾】
回给	【回】給
管系	管【係】
回笼	【回】籠
浓了	濃【了】
扯出	扯【出】
墙板	牆【板】
打蜡	打【蠟】
批了	批【了】
托住	【托】住
秋子	【秋】子
别怪	【別】怪
烟机	【煙】機
布点	【佈】點
情同	情【同】
了案	【了】案
卷了	【捲】【了】
同席	【同】席
风刮	風【刮】
表有	【表】有
爬升	爬【升】
塔里	塔【里】
也须	也【須】
还别	還【別】
了什	【了】什
证了	證【了】
团中	【團】中
同罪	【同】罪
毛了	毛【了】
只装	【只】裝
奸臣	【奸】臣
了左	【了】左
抄了	抄【了】
有暗	有【暗】
有面	有【面】
发暗	【發】【暗】
以表	以【表】
别玩	【別】玩
奇岩	奇【巖】
烟味	【煙】味
卷卷	【捲】【捲】
万安	【萬】安
发去	【發】去
才够	【才】夠
据的	【據】的
舍友	【舍】友
万新	【萬】新
范尼	【範】尼
尽而	【盡】而
苏的	【蘇】的
斗南	【鬭】南
志和	【志】和
纸面	紙【面】
阿蒙	阿【蒙】
快板	快【板】
座面	座【面】
在梁	在【樑】
里常	【里】常
同省	【同】省
台西	【臺】西
几笔	【幾】筆
奖台	獎【臺】
同型	【同】型
秋来	【秋】來
回有	【回】有
啥了	啥【了】
配种	配【種】
人获	人【獲】
里两	【里】兩
拣了	揀【了】
后里	【後】【里】
背向	背【向】
久才	久【才】
吧里	吧【里】
多干	多【幹】
当院	【當】院
击了	擊【了】
准绳	【準】繩
比克	比【克】
惜别	惜【別】
药就	【藥】就
别骂	【別】罵
咸蛋	【咸】蛋
岩浆	【巖】漿
好药	好【藥】
我尽	我【盡】
周目	【周】目
药膏	【藥】膏
网了	網【了】
泼了	潑【了】
别过	【別】過
台联	【臺】聯
雪后	雪【後】
游轮	【遊】輪
月面	月【面】
镜里	鏡【里】
向阿	【向】阿
系指	【係】指
后曾	【後】曾
发啊	【發】啊
选准	選【準】
长梁	長【樑】
捐了	捐【了】
发慌	【發】慌
逾千	逾【千】
烫了	燙【了】
针扎	【針】【扎】
月余	月【餘】
着干	著【幹】
小志	小【志】
在蒙	在【蒙】
若欲	若【欲】
都同	都【同】
烟和	【煙】和
四了	四【了】
了色	【了】色
发质	【發】質
后坐	【後】坐
志清	【志】清
剩了	剩【了】
干到	【幹】到
告了	告【了】
才醒	【才】醒
拼尽	拼【盡】
让了	讓【了】
展柜	展【櫃】
出阵	【出】陣
感了	感【了】
陈云	陳【雲】
几门	【幾】門
才弄	【才】弄
返了	返【了】
后其	【後】其
布赖	【佈】賴
病发	病【發】
吊唁	【吊】唁
布上	【佈】上
的扎	的【扎】
出团	【出】【團】
下并	下【並】
个团	個【團】
系大	【係】大
只考	【只】考
云来	【雲】來
牙周	牙【周】
获一	【獲】一
泥板	泥【板】
仲秋	仲【秋】
里下	【里】下
复辟	【復】【闢】
巷里	巷【里】
同堂	【同】堂
同向	【同】【向】
电后	電【後】
了抬	【了】擡
后则	【後】則
困兽	【困】獸
起向	起【向】
有术	有【術】
紫烟	紫【煙】
饲喂	飼【餵】
一暗	一【暗】
破万	破【萬】
年向	年【向】
了病	【了】病
罗蒙	羅【蒙】
灶台	竈【臺】
级后	級【後】
汇源	【匯】源
挡板	擋【板】
并尽	【並】【盡】
干瘪	【幹】癟
又冲	又【衝】
屈曲	屈【曲】
万贯	【萬】貫
穷了	窮【了】
了胡	【了】【胡】
扑出	撲【出】
大当	大【當】
只重	【只】重
冬春	【冬】春
即当	即【當】
烟抽	【煙】抽
作别	作【別】
松风	【鬆】風
干那	【幹】那
只认	【只】認
接获	接【獲】
公干	公【幹】
向县	【向】縣
麻药	麻【藥】
就借	就【借】
换种	換【種】
火系	火【係】
出超	【出】超
一尝	一【嘗】
才貌	【才】貌
初升	初【升】
里选	【里】選
抵台	抵【臺】
井里	井【里】
柜中	【櫃】中
石台	石【臺】
从周	從【周】
向刘	【向】劉
须防	【須】防
圈后	圈【後】
闽台	閩【臺】
洒了	灑【了】
二团	二【團】
彩陶	【彩】陶
曲江	【曲】江
陆游	陸【遊】
猛冲	猛【衝】
后汉	【後】漢
几棵	【幾】棵
析出	析【出】
的凶	的【兇】
链路	【鏈】路
里希	【里】希
钢针	鋼【針】
了沙	【了】沙
不挨	不【挨】
面一	【面】一
撑了	撐【了】
游新	【遊】新
周线	【周】線
面门	【面】門
便了	便【了】
孩了	孩【了】
同大	【同】大
万商	【萬】商
会里	會【里】
里唱	【里】唱
曲曲	【曲】【曲】
和托	和【托】
的岩	的【巖】
须持	【須】持
了工	【了】工
几起	【幾】起
对苏	對【蘇】
饰面	飾【面】
抬出	擡【出】
联发	聯【發】
养发	養【發】
一注	一【注】
党报	【黨】報
课了	課【了】
暗鬼	【暗】鬼
与台	與【臺】
余味	【餘】味
沉郁	沉【鬱】
里学	【里】學
药箱	【藥】箱
喂了	【餵】【了】
恶鬼	【惡】鬼
千姿	【千】姿
白烟	白【煙】
为周	爲【周】
楼板	樓【板】
折后	【折】【後】
则向	則【向】
用别	用【別】
后开	【後】開
当涂	【當】塗
药粉	【藥】粉
亦同	亦【同】
答了	答【了】
练出	練【出】
和万	和【萬】
了坏	【了】壞
大面	大【面】
开回	開【回】
瑞穗	瑞【穗】
挺了	挺【了】
嘉里	嘉【里】
双发	雙【發】
别找	【別】找
了宝	【了】寶
阿朱	阿【朱】
制在	【制】在
钟馗	【鍾】馗
周未	【周】未
症是	【症】是
向林	【向】林
里吗	【里】嗎
掐了	掐【了】
幸村	【幸】村
万起	【萬】起
当新	【當】新
枝干	枝【幹】
只应	【只】應
回时	【回】時
了刀	【了】刀
拼出	拼【出】
刻划	刻【劃】
朱砂	【朱】砂
烟了	【煙】【了】
跟别	跟【別】
只上	【只】上
与梁	與【樑】
九台	九【臺】
了肉	【了】肉
向非	【向】非
事别	事【別】
才跟	【才】跟
后心	【後】心
万斤	【萬】斤
吹干	吹【幹】
楼面	樓【面】
丑了	【醜】【了】
了层	【了】層
别碰	【別】碰
了德	【了】德
大恶	大【惡】
困窘	【困】窘
熬了	熬【了】
当与	【當】與
章回	章【回】
签单	【籖】單
喂猪	【餵】豬
难回	難【回】
抢回	搶【回】
湿布	濕【佈】
里飘	【里】飄
哥了	哥【了】
权后	權【後】
向陈	【向】陳
干爽	【幹】爽
会升	會【升】
起云	起【雲】
把烟	把【煙】
山后	山【後】
只懂	【只】懂
剪发	剪【發】
话才	話【才】
被征	被【徵】
面团	【面】【團】
向四	【向】四
只算	【只】算
百千	百【千】
凶铃	【兇】鈴
发如	【發】如
当用	【當】用
精了	精【了】
周中	【周】中
旋回	旋【回】
钟意	【鍾】意
喂我	【餵】我
飘云	飄【雲】
好斗	好【鬭】
是克	是【克】
为云	爲【雲】
青了	青【了】
云轩	【雲】軒
向某	【向】某
月同	月【同】
回送	【回】送
日坛	日【壇】
里响	【里】響
药检	【藥】檢
列了	列【了】
干法	【幹】法
天向	天【向】
向华	【向】華
赚万	賺【萬】
左向	左【向】
和干	和【幹】
只野	【只】野
刮了	【刮】【了】
钳制	鉗【制】
系部	【係】部
分才	分【才】
胡来	【胡】來
合彩	合【彩】
尤里	尤【里】
后撤	【後】撤
如注	如【注】
吊着	【吊】著
僵住	【僵】住
出中	【出】中
回再	【回】再
出川	【出】川
组里	組【里】
丰采	【豐】【採】
着周	著【周】
塞克	塞【克】
发前	【發】前
并上	【並】上
是梁	是【樑】
恶男	【惡】男
的刮	的【刮】
达丰	達【豐】
风卷	風【捲】
只开	【只】開
鱼了	魚【了】
发凉	【發】涼
斗笠	【鬭】笠
着出	著【出】
挨户	【挨】戶
了树	【了】樹
厚了	厚【了】
划艇	【劃】艇
里安	【里】安
舍难	【舍】難
科里	科【里】
摆明	【擺】明
和药	和【藥】
和准	和【準】
斗了	【鬭】【了】
才大	【才】大
种发	【種】【發】
才人	【才】人
了少	【了】少
挂出	掛【出】
淘尽	淘【盡】
向钱	【向】錢
连云	連【雲】
